prefix,mse,ncc,ssim,diff_path
DJI_20250530121540_0001,38494.9609375,-0.12638188451118468,,D:\peaches\sample-output\DJI_20250530121540_0001_DIFF.JPG
DJI_20250530121638_0003,1987.56494140625,0.15256772555800643,,D:\peaches\sample-output\DJI_20250530121638_0003_DIFF.JPG
DJI_20250530121724_0004,10345.5771484375,0.3560264431878308,,D:\peaches\sample-output\DJI_20250530121724_0004_DIFF.JPG
DJI_20250530121839_0006,41777.0390625,0.017294681191046667,,D:\peaches\sample-output\DJI_20250530121839_0006_DIFF.JPG
DJI_20250530121911_0007,26424.029296875,-0.27114088328825436,,D:\peaches\sample-output\DJI_20250530121911_0007_DIFF.JPG
DJI_20250530121928_0008,13175.345703125,0.3325015575365437,,D:\peaches\sample-output\DJI_20250530121928_0008_DIFF.JPG
DJI_20250530121952_0009,10611.66015625,0.2437187802371651,,D:\peaches\sample-output\DJI_20250530121952_0009_DIFF.JPG
DJI_20250530122012_0010,29311.330078125,-0.3776876312987983,,D:\peaches\sample-output\DJI_20250530122012_0010_DIFF.JPG
DJI_20250530122042_0011,3022.7978515625,0.14290355552094205,,D:\peaches\sample-output\DJI_20250530122042_0011_DIFF.JPG
DJI_20250530122129_0012,4956.47509765625,0.17643019099613577,,D:\peaches\sample-output\DJI_20250530122129_0012_DIFF.JPG
DJI_20250530122315_0001,42390.7890625,-0.33774377638988606,,D:\peaches\sample-output\DJI_20250530122315_0001_DIFF.JPG
DJI_20250530122348_0002,40142.6953125,-0.3198670667529745,,D:\peaches\sample-output\DJI_20250530122348_0002_DIFF.JPG
DJI_20250530122505_0001,15942.1650390625,0.2510695199384645,,D:\peaches\sample-output\DJI_20250530122505_0001_DIFF.JPG
DJI_20250530122528_0002,40638.83984375,-0.19736417687064836,,D:\peaches\sample-output\DJI_20250530122528_0002_DIFF.JPG
DJI_20250530122558_0003,36391.8515625,-0.1336408944091,,D:\peaches\sample-output\DJI_20250530122558_0003_DIFF.JPG
DJI_20250530123002_0002,5555.25634765625,0.18556608980737407,,D:\peaches\sample-output\DJI_20250530123002_0002_DIFF.JPG
DJI_20250530123037_0003,38610.8828125,-0.3460207790729711,,D:\peaches\sample-output\DJI_20250530123037_0003_DIFF.JPG
