prefix,before,after,num_changes,total_area,detections,annotated,mask
1,D:\peaches\input-images\1.jpg,D:\peaches\input-images\1-2.jpg,1,1217.0,"[{""bbox"": [449, 175, 120, 40], ""area"": 1217.0, ""polygon"": [[567, 185], [550, 184], [542, 175], [525, 184], [511, 201], [500, 179], [467, 194], [464, 202], [449, 211], [461, 214], [475, 207], [472, 199], [485, 192], [500, 199], [504, 212], [549, 185], [566, 195]]}]",D:\peaches\task_2_output\1_CHANGES.JPG,D:\peaches\task_2_output\1_MASK.PNG
10,D:\peaches\input-images\10.jpg,D:\peaches\input-images\10-2.jpg,0,0.0,[],D:\peaches\task_2_output\10_CHANGES.JPG,D:\peaches\task_2_output\10_MASK.PNG
11,D:\peaches\input-images\11.jpg,D:\peaches\input-images\11-2.jpg,1,729.5,"[{""bbox"": [372, 253, 37, 38], ""area"": 729.5, ""polygon"": [[407, 254], [392, 258], [374, 257], [372, 272], [376, 279], [372, 287], [377, 290], [386, 287], [402, 288], [406, 280], [387, 284], [379, 278], [379, 274], [387, 269], [399, 270], [407, 266]]}]",D:\peaches\task_2_output\11_CHANGES.JPG,D:\peaches\task_2_output\11_MASK.PNG
12,D:\peaches\input-images\12.jpg,D:\peaches\input-images\12-2.jpg,4,4610.5,"[{""bbox"": [1204, 534, 76, 49], ""area"": 1631.0, ""polygon"": [[1205, 542], [1204, 555], [1209, 566], [1217, 567], [1222, 558], [1231, 556], [1250, 563], [1254, 572], [1266, 573], [1268, 582], [1272, 575], [1279, 573], [1276, 569], [1270, 571], [1263, 567], [1273, 548], [1256, 535], [1242, 541], [1227, 534], [1219, 541]]}, {""bbox"": [858, 133, 65, 97], ""area"": 1861.0, ""polygon"": [[906, 133], [897, 145], [895, 163], [877, 176], [867, 171], [867, 177], [877, 184], [858, 194], [861, 205], [876, 205], [875, 217], [863, 217], [860, 222], [870, 222], [877, 229], [883, 226], [882, 200], [896, 193], [900, 178], [913, 174], [913, 157], [922, 154]]}, {""bbox"": [488, 121, 44, 21], ""area"": 561.5, ""polygon"": [[531, 131], [528, 129], [528, 123], [524, 121], [521, 123], [495, 122], [489, 125], [488, 137], [492, 140], [509, 133], [522, 141], [524, 140], [524, 136]]}, {""bbox"": [535, 115, 42, 22], ""area"": 557.0, ""polygon"": [[535, 118], [535, 120], [538, 122], [538, 129], [536, 130], [543, 133], [548, 131], [555, 136], [569, 130], [574, 132], [576, 131], [575, 123], [570, 118], [561, 119], [541, 115]]}]",D:\peaches\task_2_output\12_CHANGES.JPG,D:\peaches\task_2_output\12_MASK.PNG
13,D:\peaches\input-images\13.jpg,D:\peaches\input-images\13-2.jpg,1,535.0,"[{""bbox"": [505, 241, 71, 20], ""area"": 535.0, ""polygon"": [[575, 252], [569, 243], [561, 244], [556, 241], [544, 242], [555, 247], [555, 251], [547, 256], [540, 253], [537, 255], [517, 246], [505, 248], [507, 251], [517, 252], [522, 260], [529, 257], [547, 260], [562, 255], [568, 258]]}]",D:\peaches\task_2_output\13_CHANGES.JPG,D:\peaches\task_2_output\13_MASK.PNG
15,D:\peaches\input-images\15.jpg,D:\peaches\input-images\15-2.jpg,2,2702.5,"[{""bbox"": [212, 266, 64, 51], ""area"": 1984.5, ""polygon"": [[269, 267], [224, 271], [218, 279], [219, 286], [212, 302], [225, 306], [228, 316], [244, 314], [252, 303], [259, 309], [266, 307], [266, 302], [275, 294], [275, 289], [268, 291], [262, 285], [262, 278]]}, {""bbox"": [428, 123, 38, 28], ""area"": 718.0, ""polygon"": [[428, 133], [428, 135], [434, 140], [434, 149], [436, 150], [439, 148], [446, 149], [454, 148], [460, 145], [462, 146], [465, 142], [459, 126], [455, 123], [434, 125], [434, 129]]}]",D:\peaches\task_2_output\15_CHANGES.JPG,D:\peaches\task_2_output\15_MASK.PNG
16,D:\peaches\input-images\16.jpg,D:\peaches\input-images\16-2.jpg,0,0.0,[],D:\peaches\task_2_output\16_CHANGES.JPG,D:\peaches\task_2_output\16_MASK.PNG
17,D:\peaches\input-images\17.jpg,D:\peaches\input-images\17-2.jpg,1,684.5,"[{""bbox"": [692, 142, 45, 30], ""area"": 684.5, ""polygon"": [[736, 150], [725, 143], [720, 142], [693, 155], [696, 159], [696, 163], [692, 165], [692, 168], [696, 171], [708, 166], [712, 168], [721, 167], [724, 165], [725, 155], [730, 152], [734, 153]]}]",D:\peaches\task_2_output\17_CHANGES.JPG,D:\peaches\task_2_output\17_MASK.PNG
18,D:\peaches\input-images\18.jpg,D:\peaches\input-images\18-2.jpg,4,5789.5,"[{""bbox"": [1244, 998, 25, 35], ""area"": 650.5, ""polygon"": [[1268, 999], [1266, 998], [1261, 1001], [1251, 1001], [1244, 1003], [1246, 1029], [1262, 1030], [1265, 1032], [1267, 1031]]}, {""bbox"": [64, 805, 43, 45], ""area"": 1250.5, ""polygon"": [[85, 805], [73, 809], [69, 807], [65, 812], [64, 821], [74, 849], [83, 849], [106, 837], [103, 817], [100, 815], [93, 819], [89, 817]]}, {""bbox"": [67, 492, 47, 45], ""area"": 1354.5, ""polygon"": [[67, 499], [68, 509], [78, 535], [81, 536], [96, 530], [106, 534], [113, 530], [109, 513], [102, 501], [92, 499], [88, 492]]}, {""bbox"": [1841, 469, 52, 77], ""area"": 2534.0, ""polygon"": [[1860, 469], [1853, 473], [1856, 480], [1853, 501], [1848, 504], [1843, 501], [1841, 507], [1848, 505], [1854, 510], [1857, 544], [1892, 541], [1888, 512], [1891, 502], [1884, 497], [1887, 488], [1885, 473]]}]",D:\peaches\task_2_output\18_CHANGES.JPG,D:\peaches\task_2_output\18_MASK.PNG
2,D:\peaches\input-images\2.jpg,D:\peaches\input-images\2-2.jpg,56,1490255.0,"[{""bbox"": [1200, 1294, 48, 40], ""area"": 575.5, ""polygon"": [[1200, 1299], [1202, 1309], [1210, 1307], [1229, 1314], [1229, 1320], [1236, 1323], [1237, 1328], [1228, 1333], [1240, 1333], [1240, 1330], [1247, 1326], [1239, 1319], [1241, 1307], [1232, 1304], [1233, 1296], [1227, 1295], [1227, 1299], [1222, 1302], [1218, 1300], [1213, 1302], [1206, 1297]]}, {""bbox"": [1690, 1289, 36, 45], ""area"": 587.5, ""polygon"": [[1690, 1290], [1698, 1295], [1699, 1301], [1703, 1303], [1702, 1310], [1706, 1312], [1705, 1317], [1697, 1320], [1694, 1333], [1715, 1333], [1716, 1328], [1725, 1326], [1724, 1322], [1711, 1319], [1711, 1309], [1719, 1305], [1704, 1301], [1704, 1297], [1712, 1291]]}, {""bbox"": [965, 1287, 67, 47], ""area"": 974.0, ""polygon"": [[971, 1288], [973, 1302], [965, 1307], [965, 1312], [987, 1306], [997, 1310], [1003, 1320], [1010, 1316], [1018, 1319], [1018, 1328], [1003, 1333], [1016, 1333], [1030, 1322], [1026, 1312], [1031, 1307], [1019, 1306], [1011, 1300], [1003, 1305], [990, 1294], [989, 1288]]}, {""bbox"": [1593, 1286, 45, 48], ""area"": 804.5, ""polygon"": [[1635, 1286], [1625, 1293], [1608, 1290], [1608, 1303], [1593, 1308], [1595, 1311], [1600, 1308], [1604, 1310], [1606, 1315], [1615, 1321], [1616, 1333], [1620, 1333], [1620, 1324], [1626, 1321], [1622, 1313], [1632, 1308], [1633, 1299], [1637, 1295]]}, {""bbox"": [236, 1274, 44, 46], ""area"": 683.5, ""polygon"": [[265, 1275], [249, 1283], [239, 1278], [244, 1284], [245, 1296], [239, 1299], [243, 1307], [236, 1318], [242, 1317], [244, 1311], [252, 1308], [252, 1303], [257, 1300], [271, 1304], [275, 1311], [279, 1309], [266, 1295], [268, 1289], [262, 1286]]}, {""bbox"": [1459, 1270, 84, 49], ""area"": 911.0, ""polygon"": [[1542, 1306], [1523, 1301], [1534, 1295], [1530, 1280], [1510, 1270], [1503, 1286], [1521, 1284], [1520, 1296], [1490, 1300], [1482, 1311], [1473, 1307], [1472, 1299], [1459, 1299], [1468, 1317], [1491, 1310], [1498, 1317], [1503, 1313], [1499, 1305], [1515, 1299], [1524, 1304], [1511, 1314], [1515, 1318]]}, {""bbox"": [678, 1270, 63, 64], ""area"": 1797.0, ""polygon"": [[727, 1276], [715, 1270], [711, 1278], [689, 1292], [684, 1283], [680, 1285], [678, 1294], [699, 1309], [694, 1321], [682, 1327], [686, 1333], [727, 1329], [725, 1323], [709, 1320], [709, 1312], [716, 1306], [730, 1307], [740, 1300], [727, 1286]]}, {""bbox"": [287, 1269, 64, 65], ""area"": 1941.5, ""polygon"": [[292, 1272], [287, 1285], [299, 1281], [306, 1285], [296, 1296], [295, 1312], [306, 1333], [349, 1333], [340, 1323], [342, 1304], [333, 1302], [324, 1312], [319, 1303], [350, 1282], [339, 1280], [327, 1290], [309, 1284], [310, 1269]]}, {""bbox"": [1140, 1258, 54, 60], ""area"": 724.0, ""polygon"": [[1178, 1258], [1171, 1266], [1180, 1271], [1183, 1285], [1170, 1291], [1162, 1281], [1155, 1289], [1148, 1279], [1142, 1285], [1144, 1293], [1140, 1297], [1150, 1294], [1155, 1297], [1155, 1304], [1146, 1310], [1157, 1317], [1166, 1299], [1193, 1283], [1180, 1273]]}, {""bbox"": [999, 1258, 72, 39], ""area"": 656.5, ""polygon"": [[1000, 1259], [999, 1278], [1017, 1287], [1022, 1295], [1030, 1295], [1022, 1289], [1020, 1273], [1027, 1269], [1041, 1287], [1046, 1284], [1058, 1294], [1066, 1294], [1070, 1289], [1068, 1285], [1060, 1291], [1055, 1284], [1045, 1283], [1039, 1276], [1042, 1268], [1026, 1264], [1009, 1271], [1002, 1267], [1004, 1259]]}, {""bbox"": [1284, 1247, 110, 87], ""area"": 2005.5, ""polygon"": [[1393, 1250], [1372, 1269], [1362, 1248], [1363, 1264], [1332, 1293], [1309, 1289], [1317, 1274], [1301, 1262], [1300, 1279], [1284, 1285], [1305, 1289], [1311, 1305], [1303, 1309], [1332, 1315], [1318, 1328], [1333, 1324], [1340, 1333], [1340, 1317], [1366, 1295], [1355, 1301], [1343, 1288], [1364, 1267], [1383, 1286]]}, {""bbox"": [1210, 1230, 80, 51], ""area"": 1010.5, ""polygon"": [[1210, 1275], [1223, 1279], [1231, 1275], [1223, 1263], [1233, 1244], [1240, 1252], [1236, 1262], [1250, 1267], [1246, 1278], [1258, 1273], [1269, 1276], [1277, 1268], [1289, 1270], [1285, 1256], [1256, 1269], [1245, 1247], [1245, 1239], [1254, 1234], [1247, 1230], [1244, 1237], [1228, 1240]]}, {""bbox"": [1457, 1216, 55, 55], ""area"": 901.5, ""polygon"": [[1504, 1224], [1479, 1218], [1484, 1223], [1480, 1229], [1492, 1236], [1484, 1250], [1474, 1240], [1478, 1229], [1459, 1226], [1457, 1236], [1469, 1239], [1468, 1251], [1494, 1253], [1487, 1261], [1462, 1257], [1468, 1269], [1486, 1261], [1495, 1264], [1510, 1254], [1488, 1230], [1493, 1223], [1498, 1228]]}, {""bbox"": [1183, 1184, 62, 45], ""area"": 541.0, ""polygon"": [[1183, 1184], [1183, 1191], [1187, 1194], [1218, 1198], [1217, 1208], [1200, 1212], [1216, 1213], [1221, 1228], [1232, 1206], [1244, 1202], [1242, 1198], [1229, 1202], [1223, 1198], [1221, 1191], [1195, 1194]]}, {""bbox"": [1793, 1078, 32, 66], ""area"": 758.5, ""polygon"": [[1810, 1078], [1807, 1086], [1802, 1089], [1795, 1083], [1793, 1086], [1796, 1088], [1794, 1096], [1802, 1100], [1797, 1109], [1818, 1121], [1818, 1125], [1808, 1131], [1808, 1142], [1811, 1143], [1824, 1132], [1820, 1130], [1823, 1124], [1820, 1120], [1822, 1101], [1808, 1093], [1808, 1086], [1813, 1083]]}, {""bbox"": [1089, 1033, 47, 79], ""area"": 845.5, ""polygon"": [[1111, 1033], [1099, 1052], [1111, 1054], [1113, 1061], [1090, 1074], [1092, 1080], [1101, 1075], [1107, 1078], [1109, 1087], [1104, 1096], [1089, 1098], [1089, 1103], [1106, 1111], [1126, 1094], [1133, 1094], [1135, 1087], [1109, 1087], [1113, 1075], [1110, 1067], [1119, 1063], [1110, 1048], [1115, 1036]]}, {""bbox"": [1555, 995, 62, 86], ""area"": 1080.5, ""polygon"": [[1589, 995], [1574, 1013], [1555, 1005], [1583, 1038], [1581, 1053], [1564, 1055], [1573, 1060], [1570, 1080], [1589, 1055], [1589, 1039], [1603, 1041], [1607, 1055], [1601, 1060], [1615, 1057], [1607, 1051], [1607, 1038], [1616, 1025], [1603, 1035], [1577, 1028], [1588, 1022], [1582, 1011], [1590, 1008]]}, {""bbox"": [1849, 983, 74, 90], ""area"": 1753.5, ""polygon"": [[1858, 984], [1866, 989], [1860, 1021], [1878, 1024], [1885, 1034], [1875, 1048], [1852, 1029], [1858, 1047], [1891, 1060], [1895, 1072], [1908, 1059], [1922, 1061], [1911, 1055], [1922, 1029], [1914, 1024], [1909, 1035], [1886, 1025], [1895, 1015], [1883, 1008], [1876, 1017], [1867, 1011], [1875, 986]]}, {""bbox"": [1041, 964, 84, 65], ""area"": 1100.5, ""polygon"": [[1124, 995], [1086, 981], [1092, 971], [1104, 973], [1103, 966], [1093, 964], [1061, 992], [1051, 993], [1056, 1006], [1041, 1022], [1056, 1013], [1065, 1017], [1061, 1027], [1071, 1024], [1066, 1008], [1082, 1007], [1071, 998], [1082, 997], [1091, 988], [1116, 999]]}, {""bbox"": [1902, 912, 69, 55], ""area"": 903.0, ""polygon"": [[1969, 959], [1968, 953], [1960, 962], [1939, 958], [1939, 949], [1955, 938], [1967, 945], [1962, 939], [1964, 920], [1970, 917], [1967, 912], [1953, 917], [1954, 934], [1933, 937], [1926, 946], [1921, 943], [1925, 935], [1902, 932], [1904, 939], [1916, 939], [1916, 947], [1927, 950], [1936, 964], [1958, 966]]}, {""bbox"": [1682, 912, 147, 189], ""area"": 6899.0, ""polygon"": [[1794, 912], [1717, 950], [1712, 970], [1732, 940], [1757, 975], [1682, 977], [1708, 985], [1687, 996], [1709, 1006], [1700, 1029], [1743, 1015], [1749, 1043], [1733, 1053], [1725, 1031], [1711, 1059], [1783, 1100], [1789, 1064], [1828, 1078], [1805, 1057], [1754, 1066], [1782, 1018], [1766, 999], [1797, 969], [1751, 949], [1784, 945]]}, {""bbox"": [1817, 905, 46, 41], ""area"": 531.5, ""polygon"": [[1825, 905], [1822, 909], [1830, 911], [1831, 917], [1817, 926], [1837, 945], [1838, 937], [1843, 932], [1830, 926], [1829, 921], [1841, 915], [1849, 925], [1862, 917], [1858, 913], [1847, 917], [1842, 914], [1842, 909]]}, {""bbox"": [1681, 898, 49, 67], ""area"": 1209.5, ""polygon"": [[1708, 898], [1694, 901], [1689, 913], [1697, 915], [1698, 920], [1682, 929], [1695, 936], [1694, 942], [1681, 948], [1688, 954], [1689, 964], [1702, 963], [1698, 955], [1707, 952], [1706, 941], [1712, 938], [1712, 934], [1696, 934], [1694, 925], [1700, 922], [1719, 931], [1718, 918], [1729, 914]]}, {""bbox"": [1976, 894, 24, 47], ""area"": 601.0, ""polygon"": [[1987, 894], [1985, 897], [1989, 899], [1989, 903], [1983, 906], [1985, 913], [1976, 918], [1976, 923], [1985, 925], [1986, 938], [1994, 940], [1994, 934], [1999, 931], [1999, 900]]}, {""bbox"": [1605, 875, 70, 59], ""area"": 727.0, ""polygon"": [[1606, 881], [1612, 911], [1626, 921], [1628, 933], [1633, 932], [1637, 915], [1653, 895], [1674, 902], [1668, 892], [1671, 881], [1657, 881], [1652, 896], [1643, 897], [1638, 906], [1629, 906], [1637, 910], [1637, 917], [1630, 921], [1622, 912], [1624, 907], [1611, 896], [1615, 876]]}, {""bbox"": [1734, 866, 73, 50], ""area"": 949.5, ""polygon"": [[1806, 896], [1796, 900], [1780, 897], [1779, 891], [1787, 882], [1774, 866], [1771, 870], [1776, 873], [1776, 879], [1768, 884], [1770, 896], [1760, 897], [1746, 886], [1734, 888], [1742, 906], [1751, 908], [1754, 915], [1760, 907], [1770, 908], [1777, 901], [1799, 905]]}, {""bbox"": [1082, 865, 704, 469], ""area"": 98723.5, ""polygon"": [[1082, 1184], [1152, 1270], [1194, 1112], [1312, 1123], [1301, 1233], [1314, 1104], [1434, 1182], [1487, 1088], [1546, 1299], [1785, 1268], [1691, 1049], [1660, 1177], [1496, 946], [1384, 960], [1443, 865]]}, {""bbox"": [1305, 851, 63, 59], ""area"": 1042.5, ""polygon"": [[1367, 859], [1357, 859], [1350, 851], [1331, 858], [1320, 853], [1319, 863], [1312, 867], [1315, 884], [1305, 900], [1316, 902], [1320, 909], [1327, 908], [1313, 896], [1313, 891], [1329, 883], [1331, 877], [1339, 877], [1342, 871], [1353, 868], [1354, 863], [1364, 863]]}, {""bbox"": [1683, 847, 74, 33], ""area"": 669.5, ""polygon"": [[1756, 860], [1737, 847], [1730, 850], [1732, 865], [1728, 871], [1721, 874], [1714, 869], [1706, 874], [1694, 865], [1694, 857], [1690, 855], [1686, 857], [1687, 874], [1683, 878], [1690, 877], [1695, 870], [1714, 879], [1721, 875], [1726, 878], [1742, 865], [1754, 864]]}, {""bbox"": [1141, 787, 53, 51], ""area"": 619.0, ""polygon"": [[1190, 788], [1185, 788], [1180, 798], [1169, 800], [1168, 806], [1160, 810], [1152, 809], [1152, 815], [1141, 820], [1145, 822], [1145, 829], [1152, 829], [1152, 824], [1160, 819], [1166, 827], [1163, 835], [1176, 836], [1170, 830], [1170, 823], [1174, 819], [1167, 815], [1167, 810], [1191, 801], [1193, 795]]}, {""bbox"": [1763, 761, 90, 96], ""area"": 2563.5, ""polygon"": [[1785, 770], [1786, 795], [1763, 800], [1791, 804], [1781, 830], [1810, 818], [1822, 824], [1822, 833], [1831, 822], [1830, 849], [1849, 852], [1840, 842], [1852, 838], [1850, 826], [1838, 823], [1828, 799], [1813, 803], [1814, 814], [1804, 813], [1807, 795], [1832, 788], [1836, 775], [1816, 772], [1807, 761]]}, {""bbox"": [1181, 755, 45, 55], ""area"": 841.0, ""polygon"": [[1200, 755], [1195, 768], [1189, 771], [1183, 768], [1181, 772], [1185, 774], [1190, 771], [1199, 779], [1204, 776], [1209, 778], [1210, 783], [1202, 791], [1220, 809], [1223, 807], [1224, 796], [1215, 793], [1215, 785], [1225, 781], [1220, 778], [1221, 760]]}, {""bbox"": [1866, 698, 134, 187], ""area"": 7249.5, ""polygon"": [[1949, 698], [1930, 712], [1958, 729], [1948, 745], [1908, 740], [1905, 758], [1933, 759], [1910, 775], [1921, 806], [1866, 825], [1925, 842], [1881, 861], [1912, 864], [1919, 884], [1939, 877], [1917, 865], [1949, 851], [1928, 839], [1967, 829], [1942, 773], [1989, 792], [1999, 735], [1964, 734], [1974, 713], [1949, 720]]}, {""bbox"": [1513, 655, 191, 217], ""area"": 8977.0, ""polygon"": [[1655, 655], [1646, 690], [1513, 804], [1603, 773], [1587, 814], [1597, 793], [1602, 822], [1640, 821], [1636, 848], [1656, 847], [1661, 871], [1665, 813], [1607, 799], [1643, 789], [1625, 782], [1638, 759], [1672, 751], [1669, 705], [1703, 701], [1671, 697], [1686, 683]]}, {""bbox"": [7, 630, 76, 64], ""area"": 882.0, ""polygon"": [[78, 641], [54, 659], [51, 646], [39, 658], [33, 654], [37, 639], [54, 637], [28, 632], [32, 649], [18, 648], [18, 657], [30, 670], [7, 673], [19, 681], [10, 690], [28, 687], [23, 678], [39, 670], [44, 656], [56, 662], [65, 655], [75, 671], [82, 660], [74, 653]]}, {""bbox"": [1701, 619, 64, 70], ""area"": 1136.0, ""polygon"": [[1744, 619], [1728, 625], [1724, 640], [1712, 645], [1703, 641], [1719, 660], [1746, 660], [1745, 670], [1731, 667], [1722, 673], [1717, 662], [1701, 660], [1719, 672], [1715, 688], [1735, 676], [1750, 677], [1764, 663], [1725, 642]]}, {""bbox"": [1805, 576, 28, 64], ""area"": 601.0, ""polygon"": [[1827, 576], [1811, 577], [1809, 581], [1811, 592], [1816, 589], [1822, 593], [1822, 600], [1817, 603], [1809, 598], [1809, 594], [1805, 596], [1808, 601], [1805, 611], [1808, 622], [1812, 624], [1812, 632], [1808, 634], [1810, 639], [1819, 636], [1818, 629], [1822, 624], [1812, 615], [1813, 609], [1824, 607], [1824, 601], [1832, 597], [1832, 594], [1823, 591]]}, {""bbox"": [1751, 543, 49, 97], ""area"": 1509.5, ""polygon"": [[1781, 544], [1767, 546], [1781, 548], [1786, 563], [1775, 569], [1760, 561], [1771, 570], [1767, 582], [1773, 591], [1751, 587], [1768, 609], [1764, 621], [1770, 629], [1758, 639], [1798, 617], [1793, 598], [1780, 619], [1770, 608], [1771, 597], [1793, 591], [1791, 574], [1799, 569], [1799, 553]]}, {""bbox"": [1759, 481, 49, 55], ""area"": 630.5, ""polygon"": [[1778, 481], [1767, 490], [1762, 487], [1763, 497], [1759, 501], [1768, 504], [1769, 523], [1781, 525], [1781, 533], [1787, 535], [1791, 531], [1773, 519], [1774, 514], [1781, 512], [1775, 502], [1780, 499], [1797, 506], [1807, 503], [1807, 498], [1789, 488], [1787, 497], [1777, 498], [1773, 490], [1780, 484]]}, {""bbox"": [1732, 441, 43, 45], ""area"": 787.5, ""polygon"": [[1733, 443], [1739, 448], [1739, 455], [1733, 458], [1735, 466], [1732, 470], [1745, 483], [1761, 485], [1763, 475], [1750, 481], [1742, 476], [1742, 472], [1759, 465], [1767, 471], [1772, 470], [1773, 449], [1758, 451], [1748, 457], [1743, 454], [1743, 444]]}, {""bbox"": [1813, 434, 187, 366], ""area"": 18509.0, ""polygon"": [[1972, 434], [1913, 450], [1977, 497], [1921, 510], [1936, 576], [1844, 578], [1880, 660], [1847, 641], [1859, 689], [1813, 699], [1860, 709], [1828, 747], [1848, 784], [1840, 753], [1882, 759], [1865, 798], [1898, 744], [1850, 720], [1945, 687], [1943, 586], [1999, 629], [1999, 566], [1956, 582], [1999, 534]]}, {""bbox"": [519, 418, 32, 47], ""area"": 622.5, ""polygon"": [[549, 420], [535, 419], [544, 426], [544, 433], [534, 441], [528, 440], [520, 448], [523, 452], [523, 456], [519, 458], [520, 462], [528, 461], [536, 464], [550, 460], [541, 445], [545, 434], [550, 431]]}, {""bbox"": [1841, 327, 78, 59], ""area"": 1296.0, ""polygon"": [[1916, 354], [1895, 328], [1889, 328], [1890, 337], [1900, 340], [1901, 346], [1896, 349], [1877, 342], [1883, 359], [1870, 367], [1842, 366], [1841, 373], [1847, 376], [1844, 384], [1862, 381], [1849, 378], [1858, 367], [1866, 372], [1873, 369], [1880, 376], [1891, 376], [1901, 367], [1910, 375], [1918, 363]]}, {""bbox"": [1800, 319, 200, 256], ""area"": 8770.0, ""polygon"": [[1998, 322], [1951, 343], [1933, 396], [1856, 405], [1867, 446], [1832, 468], [1875, 516], [1800, 535], [1819, 541], [1801, 569], [1866, 552], [1849, 537], [1888, 505], [1904, 517], [1881, 541], [1904, 534], [1919, 483], [1885, 491], [1863, 463], [1901, 461], [1911, 420], [1950, 427], [1933, 400], [1961, 397], [1963, 352], [1999, 380], [1977, 364]]}, {""bbox"": [1882, 274, 110, 67], ""area"": 2096.0, ""polygon"": [[1884, 310], [1900, 318], [1890, 306], [1893, 294], [1904, 295], [1914, 310], [1906, 325], [1917, 340], [1913, 320], [1946, 317], [1954, 308], [1965, 316], [1977, 302], [1973, 294], [1989, 292], [1991, 284], [1967, 297], [1958, 286], [1935, 295], [1914, 274], [1908, 277], [1920, 283], [1915, 298], [1900, 275], [1896, 288], [1882, 291]]}, {""bbox"": [1935, 231, 41, 49], ""area"": 592.5, ""polygon"": [[1949, 231], [1935, 246], [1940, 248], [1947, 244], [1952, 247], [1955, 263], [1948, 269], [1958, 279], [1962, 277], [1963, 268], [1974, 265], [1968, 260], [1968, 255], [1975, 249], [1968, 251], [1957, 243], [1953, 245], [1949, 243], [1948, 238], [1953, 235]]}, {""bbox"": [1870, 200, 47, 38], ""area"": 663.0, ""polygon"": [[1915, 202], [1884, 202], [1874, 210], [1886, 206], [1891, 209], [1891, 218], [1886, 221], [1874, 217], [1870, 223], [1881, 225], [1882, 237], [1893, 225], [1900, 232], [1907, 233], [1916, 224], [1904, 229], [1897, 225], [1897, 221]]}, {""bbox"": [240, 175, 120, 102], ""area"": 3207.0, ""polygon"": [[248, 185], [256, 196], [240, 213], [273, 210], [249, 233], [281, 251], [276, 233], [304, 238], [293, 201], [323, 192], [318, 229], [339, 214], [350, 232], [318, 254], [334, 255], [327, 271], [352, 268], [337, 267], [359, 203], [341, 215], [328, 206], [338, 188], [311, 175], [293, 198], [289, 185]]}, {""bbox"": [10, 169, 38, 30], ""area"": 587.0, ""polygon"": [[37, 170], [31, 169], [20, 176], [19, 180], [10, 184], [10, 189], [15, 191], [21, 197], [24, 195], [32, 198], [36, 197], [37, 190], [47, 187], [47, 185], [39, 181]]}, {""bbox"": [1913, 159, 87, 96], ""area"": 1178.5, ""polygon"": [[1999, 159], [1990, 168], [1996, 176], [1983, 186], [1988, 203], [1972, 202], [1969, 216], [1961, 219], [1949, 209], [1962, 206], [1948, 201], [1913, 250], [1925, 253], [1921, 240], [1934, 235], [1944, 220], [1957, 219], [1976, 234], [1988, 214], [1999, 210], [1987, 193], [1999, 178]]}, {""bbox"": [48, 98, 174, 221], ""area"": 10456.0, ""polygon"": [[98, 106], [81, 138], [119, 149], [86, 180], [141, 217], [51, 251], [88, 246], [156, 318], [187, 313], [165, 298], [188, 280], [158, 298], [132, 277], [221, 275], [178, 249], [144, 271], [167, 245], [143, 221], [185, 204], [159, 185], [203, 193], [174, 160], [204, 144], [163, 161], [140, 105]]}, {""bbox"": [58, 35, 52, 84], ""area"": 1065.5, ""polygon"": [[105, 40], [92, 49], [87, 46], [92, 38], [88, 36], [78, 51], [80, 58], [71, 61], [82, 63], [85, 72], [65, 73], [73, 81], [73, 92], [64, 96], [65, 107], [58, 117], [80, 109], [81, 87], [95, 86], [87, 79], [85, 67], [93, 59], [103, 60], [109, 51]]}, {""bbox"": [1954, 0, 46, 88], ""area"": 1339.5, ""polygon"": [[1989, 0], [1964, 18], [1981, 17], [1976, 29], [1986, 31], [1985, 43], [1966, 48], [1957, 59], [1966, 68], [1954, 79], [1965, 86], [1975, 86], [1967, 77], [1981, 75], [1980, 68], [1999, 52], [1994, 47], [1999, 34], [1986, 31], [1999, 20], [1983, 14], [1991, 7]]}, {""bbox"": [1360, 0, 113, 137], ""area"": 4525.0, ""polygon"": [[1452, 0], [1408, 0], [1401, 53], [1360, 47], [1376, 58], [1374, 76], [1403, 82], [1405, 101], [1422, 110], [1408, 121], [1423, 136], [1424, 113], [1435, 108], [1442, 119], [1453, 109], [1447, 88], [1426, 94], [1439, 76], [1409, 62], [1435, 59], [1430, 20], [1455, 36], [1450, 17], [1471, 17]]}, {""bbox"": [0, 0, 1944, 1334], ""area"": 1275119.5, ""polygon"": [[0, 951], [672, 1333], [1440, 780], [879, 367], [1612, 677], [1943, 25], [335, 4], [752, 494], [17, 269]]}, {""bbox"": [122, 0, 147, 78], ""area"": 2523.5, ""polygon"": [[267, 5], [236, 16], [226, 4], [218, 11], [196, 0], [185, 8], [188, 18], [176, 21], [195, 39], [181, 49], [173, 35], [150, 40], [159, 53], [135, 56], [122, 70], [147, 77], [162, 62], [184, 68], [187, 47], [215, 42], [202, 37], [206, 17], [215, 18], [213, 30], [228, 32], [234, 19], [262, 22]]}]",D:\peaches\task_2_output\2_CHANGES.JPG,D:\peaches\task_2_output\2_MASK.PNG
